gene	type	intercept	T2	acrAB	bamE	dapA	hdeA	letA	lolB	lptD	marR	mdtA	micA	mraZ	pspA	rcsA	rpoE	tolC	waaQ	ydiF	ygiM
""	controls	1.11208182194777e-46	2.60139018301024e-53	1	1	1	1	1	1	1	1	0	1	1	1	1	1.02482721536977e-32	1	1	0	1
aaeA	perfect	3.11716678818173e-08	3.26234004536071e-07	0.179204119129139	0.000780465761311677	0.000623191523167684	2.25455075652525e-09	0.0326830824498733	1	0.000178734149998573	0.0871362396988716	1.34079200423343e-52	6.56113801685512e-22	0.0974061892883092	1.32620033290867e-05	0.000987031266616287	3.39139271674967e-09	8.71878679202785e-05	0.00204106598000237	1.13642823534495e-92	0.0175252827156564
aaeB	perfect	3.62910535108763e-05	1.48786133719543e-06	1.82160264611921e-06	0.0961389446795644	0.0289376256104807	0.000278073860276693	0.000381565669825968	0.517942938473036	0.000671800919562459	0.0336232689416803	2.55943267874159e-110	0.00603390255033413	0.00349096247805332	0.00110803697029884	0.35509845030592	1.02285810395908e-15	0.000575425442626516	0.291260318765391	1.44599003736837e-172	0.000830425764708516
aaeR	perfect	0.0135986135503612	0.57334264816465	0.840887811247119	0.0418845115544441	0.163852326878017	0.164215404979506	0.195357415282631	0.222262073188526	0.000201185772869555	0.866847002156286	1.49314499686606e-23	0.257858348816112	0.532526190438253	0.000474973823025867	0.434173302306238	0.00222514755615183	0.0540841489369329	0.040029311205239	2.09824841401476e-19	0.145457531336663
aaeX	perfect	0.0276395624615525	0.857319285672019	0.583619893933375	0.773128658394511	0.872539860363758	0.175230631546333	0.000400935350839166	1	0.721578184120744	0.99750433535338	1.19326374514758e-26	0.705089329923035	0.999512126657667	0.0663400230957437	0.30971293475938	0.40294765360742	0.579166058362677	0.999308463542316	3.50975618718304e-72	0.0920150102775958
aas	perfect	0.00398788370667579	0.12598531079442	0.997011152494102	0.669676777169125	0.969255021320496	0.885896050672221	0.748711775363309	0.477315089470696	1	0.715729729474708	6.37314678610617e-06	0.66670747259604	0.946844418780329	0.244999992339565	0.420998216219482	0.000328586037829126	0.691653977554957	0.296799566814312	1.21692049085892e-14	0.98494492421455
aat	perfect	0.893372443945809	0.649102274976685	0.00237217837199221	0.11417180560393	0.37731541797388	0.00400663592588327	0.445040344187196	0.680798407153346	0.00151808011201879	0.0249646701488523	5.16131312470164e-26	0.0117203901060665	0.0446690538164961	0.000179488191877258	0.124064333637605	4.34630436746946e-05	0.00493447881744846	0.181387978348385	8.15793044502524e-75	0.642349901340683
abgA	perfect	0.00263768769197083	1.50037011564309e-06	0.194468009286349	0.00748176342139817	0.29301409321036	0.00677194920839354	0.0887571215458614	0.967732478287459	0.257963107811593	0.00548102034046342	8.82410262215154e-18	0.885965232291933	0.0535724879187543	0.077252244189169	0.000373401629496158	0.0789570554204336	0.236593154033075	0.373048205323641	8.03978947265386e-57	0.0743779674301548
abgB	perfect	0.000581543570140668	0.959947041810764	0.93237686391163	0.997870133100024	0.980670785435213	0.919008033227949	0.789518677956337	1	0.87842036013091	0.892921960751219	7.68774715199583e-58	0.178824538475123	0.116645636989733	0.916534485255016	1.34656413858289e-07	0.0270306770903015	0.448600018414925	3.52944726954852e-05	7.0878319732085e-110	0.186743513817557
abgR	perfect	0.0368135090960357	0.0515890951723626	0.97630549237701	0.994456435953995	0.996405699961444	1.71789455036073e-10	0.94219916194592	1	0.976770002990391	0.996710957444705	6.81674969152495e-15	0.990180075420102	0.970366790325919	0.00621916803854778	1	0.387652440348835	0.745237078538946	0.996706985369344	6.32229271967718e-34	0.596553885287438
abgT	perfect	1.2615965273743e-07	0.115241509421228	0.694623178811795	1.93965754424904e-05	0.0131188257305111	2.62758335441631e-12	2.10870059155398e-09	0.0143837956086818	1	0.00688553668425312	1.65954277345669e-47	0.0131496352593136	0.91145202691765	0.000521096066114033	0.590716637301008	0.000394661773145089	0.00368639354301822	0.00053768680071681	1.18523811174006e-70	0.000124575249421856
